"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:5IvGrMBjvL25j42aIKDvZ9","Chalo Door Kahin","spotify:artist:4UjFSd24FZluVytp1sk7qq","Samar Jafri","spotify:album:65sQMiosPhNePUKN2KKlL0","Chalo Door Kahin","spotify:artist:4UjFSd24FZluVytp1sk7qq","Samar Jafri","2025-10-19","https://i.scdn.co/image/ab67616d0000b27352664d0a0a571f7232193c7b","1","1","158961","https://p.scdn.co/mp3-preview/3fb920ebb5d571fd1a201cd42e9aa9569823e694?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","QT65Z2538287","","2026-01-25T05:34:19Z"
"spotify:track:1XTijOjVgekZjRXwgJ2VSE","Bhool","spotify:artist:6hIXwlI4wny3zYuB6cDBBk","Murtaza Qizilbash","spotify:album:4MIPkmbrYvZqLdzLwaQRF9","Bhool","spotify:artist:6hIXwlI4wny3zYuB6cDBBk","Murtaza Qizilbash","2025-01-08","https://i.scdn.co/image/ab67616d0000b27313ab28ad75ecb95ed5fbdb19","1","1","244800","https://p.scdn.co/mp3-preview/97bd8b5ab88506a53d689ae6e8b160daee44a35b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","QT3F42400239","","2026-01-21T07:21:15Z"
"spotify:track:7434BIItQaMs9V5flwjRGq","Dooriyan","spotify:artist:2cjQTf2J5yCaNY8qHpW855","AUR","spotify:album:24BG9xkgwuDUX5om5qEnwy","Dooriyan","spotify:artist:2cjQTf2J5yCaNY8qHpW855","AUR","2023-12-12","https://i.scdn.co/image/ab67616d0000b2733bbaf4d8bd717eb28e20197e","1","1","267668","https://p.scdn.co/mp3-preview/74559276a10350bb44bb5b8c111630624762da1f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","QZFZ72222045","","2026-01-17T10:03:56Z"
"spotify:track:3wpz9ZDyrSH3EdGjOV94lP","TUM","spotify:artist:1ZChN8G1Y7CJ0TXbrvblwS, spotify:artist:2cjQTf2J5yCaNY8qHpW855","Asim Azhar, AUR","spotify:album:41Uv32fOQN5vgX8ehDzp7K","TUM","spotify:artist:1ZChN8G1Y7CJ0TXbrvblwS, spotify:artist:2cjQTf2J5yCaNY8qHpW855","Asim Azhar, AUR","2025-01-24","https://i.scdn.co/image/ab67616d0000b273a23742b6867bb19af3bba8dc","1","1","193605","","false","32","AEUM72500001","","2026-01-17T10:01:43Z"
"spotify:track:2IKla1b6IOAh67rd2xWPBS","Never There","spotify:artist:0Nl4kTPLk2ucrARvaf55zQ, spotify:artist:1nCZUpBIcyOxufOx0lPeIW, spotify:artist:69xcFpmqTOmFNOL08Bxyci","Jokhay, Annural Khalid, Talha Anjum","spotify:album:6NO41h5BryO5Bh7NFSKPm5","Through the Static","spotify:artist:0Nl4kTPLk2ucrARvaf55zQ","Jokhay","2025-01-25","https://i.scdn.co/image/ab67616d0000b273d5660b1197ac74714b48446f","1","3","181994","https://p.scdn.co/mp3-preview/e95b43d115d49f65b5cc83f0326a9933e93f78f3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","AUBEC2522903","","2026-01-11T11:09:12Z"
"spotify:track:2dpy67gliK4nMxpjkGGIvw","FARZ","spotify:artist:3P8ZD2X9kQJfeVcjr3GLP4, spotify:artist:05miC2ndfE3ZyZ7xCMnZzm","HAVI, Farasat Anees","spotify:album:0VJgE6Dq0O3r7yJe74uN79","FARZ","spotify:artist:3P8ZD2X9kQJfeVcjr3GLP4, spotify:artist:05miC2ndfE3ZyZ7xCMnZzm","HAVI, Farasat Anees","2025-08-07","https://i.scdn.co/image/ab67616d0000b273a62300b2375036c805317e46","1","1","188800","https://p.scdn.co/mp3-preview/452b1fa722f4f3fefda969a3078a887f08f61fb9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","QZWFS2554593","","2026-01-11T10:44:44Z"
"spotify:track:4VqI7VRsMt1TrM6eZpTx1Q","Zamana","spotify:artist:1NOuodJ2U1hMvKYXFJPw5P","SINASH","spotify:album:39MzLW5zueRlhVwBNwZLNX","Zamana","spotify:artist:1NOuodJ2U1hMvKYXFJPw5P","SINASH","2025-11-07","https://i.scdn.co/image/ab67616d0000b2734ee2eca5dd8a9ab2f5a90223","1","1","157678","https://p.scdn.co/mp3-preview/ac9a3876763be3fb0aabdb9e3510d963793714c9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","QMFMF2566921","","2026-01-05T10:56:16Z"
"spotify:track:415QSjDRl2v2D8YCY2ornl","Miracles","spotify:artist:0Nl4kTPLk2ucrARvaf55zQ, spotify:artist:63L8XYlQRWRGlg1d4ujXDc","Jokhay, JANI","spotify:album:6AXMox1tEwIHyofgRBbl8k","Emotional Baggage","spotify:artist:0Nl4kTPLk2ucrARvaf55zQ, spotify:artist:63L8XYlQRWRGlg1d4ujXDc","Jokhay, JANI","2025-09-21","https://i.scdn.co/image/ab67616d0000b2734b0d7332dc7ac82cf03b5342","1","1","200888","https://p.scdn.co/mp3-preview/b2f10942fe637cd487bbcc181f3acf4b8cd18f30?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","GX53U2600485","","2026-01-04T16:17:36Z"
"spotify:track:46kEe1OzYWAzQowuQBoYo5","You","spotify:artist:2cjQTf2J5yCaNY8qHpW855","AUR","spotify:album:0KUWZOvXO6Uvsih3zDpwYa","You paint me again “PURPLE”","spotify:artist:2cjQTf2J5yCaNY8qHpW855","AUR","2025-12-12","https://i.scdn.co/image/ab67616d0000b273ee52334af4d8fc5d1c16cad5","1","2","242203","https://p.scdn.co/mp3-preview/5389d77a529433affc972d5ac91a28f5f76f8a40?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","US39N2560422","","2026-01-04T07:40:01Z"
"spotify:track:52Zf1kNdojgRkkw39O6vwl","Inaam","spotify:artist:4gdMJYnopf2nEUcanAwstx","Anuv Jain","spotify:album:2c6wzrX9E7bdrY8UU4ISbL","Inaam","spotify:artist:4gdMJYnopf2nEUcanAwstx","Anuv Jain","2025-12-12","https://i.scdn.co/image/ab67616d0000b27340e37f95f57c1df4dbf9ebc4","1","1","257177","","false","73","INUM72501643","","2026-01-02T15:37:16Z"
"spotify:track:23vGmoyXzr1R1Hjh0jTU5v","Strangers","spotify:artist:1ZChN8G1Y7CJ0TXbrvblwS, spotify:artist:69xcFpmqTOmFNOL08Bxyci","Asim Azhar, Talha Anjum","spotify:album:1jwD9DRyItX9qyVSpTDB0Y","Asim Ali","spotify:artist:1ZChN8G1Y7CJ0TXbrvblwS","Asim Azhar","2025-11-24","https://i.scdn.co/image/ab67616d0000b273b1000e351344e0ea091dd8d5","1","10","212000","https://p.scdn.co/mp3-preview/84605d0d1ff49a735757ebcf700ffe98286821c4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","US39N2542486","","2025-12-29T19:58:21Z"
"spotify:track:4Qm7r3ImER8S2Ori1gLMAf","Afsos","spotify:artist:4gdMJYnopf2nEUcanAwstx, spotify:artist:6LEG9Ld1aLImEFEVHdWNSB","Anuv Jain, AP Dhillon","spotify:album:0RaKe6idrXFUXsqxU4VmPa","Afsos","spotify:artist:4gdMJYnopf2nEUcanAwstx, spotify:artist:6LEG9Ld1aLImEFEVHdWNSB","Anuv Jain, AP Dhillon","2025-01-31","https://i.scdn.co/image/ab67616d0000b2738537cf974af2c408bdd8e1a6","1","1","191752","","false","80","INUM72500068","","2025-12-29T19:38:01Z"
"spotify:track:63JalTBs8IN41bfjYawfJY","Cry on Cue Please","spotify:artist:04ENOEpTQgKEVWrvlHwdzN, spotify:artist:63L8XYlQRWRGlg1d4ujXDc","superdupersultan, JANI","spotify:album:1wHEfVhSJoc8tVpOKjzams","Cry on Cue Please","spotify:artist:63L8XYlQRWRGlg1d4ujXDc, spotify:artist:04ENOEpTQgKEVWrvlHwdzN","JANI, superdupersultan","2021-05-01","https://i.scdn.co/image/ab67616d0000b2739da46b773c0fff3c10162ca1","1","1","218906","https://p.scdn.co/mp3-preview/cd76fd8e5d9f5e6ed4f1231327c9dcb8580217ba?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","AUBEC2115161","","2025-12-29T17:09:42Z"
